county,fips,acp_type
Autauga AL,01001,1
Elmore AL,01051,1
Limestone AL,01083,1
St. Clair AL,01115,1
Shelby AL,01117,1
Benton AR,05007,1
Lonoke AR,05085,1
Saline AR,05125,1
El Dorado CA,06017,1
Nevada CA,06057,1
Placer CA,06061,1
Yuba CA,06115,1
Adams CO,08001,1
Douglas CO,08035,1
Elbert CO,08039,1
Garfield CO,08045,1
Jefferson CO,08059,1
Mesa CO,08077,1
Weld CO,08123,1
Litchfield CT,09005,1
Middlesex CT,09007,1
Clay FL,12019,1
Nassau FL,12089,1
St. Johns FL,12109,1
Santa Rosa FL,12113,1
Wakulla FL,12129,1
Barrow GA,13013,1
Bartow GA,13015,1
Catoosa GA,13047,1
Cherokee GA,13057,1
Coweta GA,13077,1
Dawson GA,13085,1
Douglas GA,13097,1
Effingham GA,13103,1
Fayette GA,13113,1
Forsyth GA,13117,1
Harris GA,13145,1
Henry GA,13151,1
Jackson GA,13157,1
Lee GA,13177,1
Lumpkin GA,13187,1
Newton GA,13217,1
Oconee GA,13219,1
Paulding GA,13223,1
Pickens GA,13227,1
Pike GA,13231,1
Rockdale GA,13247,1
Walton GA,13297,1
Ada ID,16001,1
Canyon ID,16027,1
Gem ID,16045,1
Kootenai ID,16055,1
Payette ID,16075,1
Twin Falls ID,16083,1
Boone IL,17007,1
Grundy IL,17063,1
Kane IL,17089,1
Kendall IL,17093,1
Lake IL,17097,1
McHenry IL,17111,1
Will IL,17197,1
Hamilton IN,18057,1
Hancock IN,18059,1
Hendricks IN,18063,1
Johnson IN,18081,1
Dallas IA,19049,1
Polk IA,19153,1
Johnson KS,20091,1
Anderson KY,21005,1
Boone KY,21015,1
Bullitt KY,21029,1
Grant KY,21081,1
Jessamine KY,21113,1
Nelson KY,21179,1
Oldham KY,21185,1
Scott KY,21209,1
Shelby KY,21211,1
Spencer KY,21215,1
Ascension Parish LA,22005,1
Cameron Parish LA,22023,1
Livingston Parish LA,22063,1
Plaquemines Parish LA,22075,1
St. Tammany Parish LA,22103,1
Anne Arundel MD,24003,1
Caroline MD,24011,1
Carroll MD,24013,1
Cecil MD,24015,1
Frederick MD,24021,1
Harford MD,24025,1
Queen Annes MD,24035,1
Talbot MD,24041,1
Plymouth MA,25023,1
Clinton MI,26037,1
Anoka MN,27003,1
Carver MN,27019,1
Chisago MN,27025,1
Dakota MN,27037,1
Isanti MN,27059,1
Mille Lacs MN,27095,1
Olmsted MN,27109,1
Scott MN,27139,1
Sherburne MN,27141,1
Washington MN,27163,1
Wright MN,27171,1
DeSoto MS,28033,1
Hancock MS,28045,1
Lamar MS,28073,1
Rankin MS,28121,1
Callaway MO,29027,1
Cass MO,29037,1
Christian MO,29043,1
Clay MO,29047,1
Clinton MO,29049,1
Jefferson MO,29099,1
Lincoln MO,29113,1
Platte MO,29165,1
St. Charles MO,29183,1
Warren MO,29219,1
Webster MO,29225,1
Jefferson MT,30043,1
Churchill NV,32001,1
Douglas NV,32005,1
Lyon NV,32019,1
Storey NV,32029,1
Hillsborough NH,33011,1
Merrimack NH,33013,1
Rockingham NH,33015,1
Burlington NJ,34005,1
Gloucester NJ,34015,1
Hunterdon NJ,34019,1
Salem NJ,34033,1
Sussex NJ,34037,1
Warren NJ,34041,1
Sandoval NM,35043,1
Saratoga NY,36091,1
Cabarrus NC,37025,1
Camden NC,37029,1
Chatham NC,37037,1
Currituck NC,37053,1
Iredell NC,37097,1
Johnston NC,37101,1
Lincoln NC,37109,1
Union NC,37179,1
Delaware OH,39041,1
Union OH,39159,1
Warren OH,39165,1
Canadian OK,40017,1
Logan OK,40083,1
Rogers OK,40131,1
Wagoner OK,40145,1
Clackamas OR,41005,1
Yamhill OR,41071,1
Bucks PA,42017,1
Chester PA,42029,1
Monroe PA,42089,1
Pike PA,42103,1
Lexington SC,45063,1
York SC,45091,1
Custer SD,46033,1
Lincoln SD,46083,1
Blount TN,47009,1
Cheatham TN,47021,1
Dickson TN,47043,1
Fayette TN,47047,1
Robertson TN,47147,1
Rutherford TN,47149,1
Sumner TN,47165,1
Tipton TN,47167,1
Williamson TN,47187,1
Wilson TN,47189,1
Bastrop TX,48021,1
Brazoria TX,48039,1
Chambers TX,48071,1
Collin TX,48085,1
Comal TX,48091,1
Denton TX,48121,1
Ellis TX,48139,1
Fort Bend TX,48157,1
Galveston TX,48167,1
Guadalupe TX,48187,1
Hays TX,48209,1
Johnson TX,48251,1
Kaufman TX,48257,1
Kendall TX,48259,1
Montgomery TX,48339,1
Parker TX,48367,1
Rockwall TX,48397,1
Williamson TX,48491,1
Wilson TX,48493,1
Wise TX,48497,1
Amelia VA,51007,1
Caroline VA,51033,1
Chesterfield VA,51041,1
Clarke VA,51043,1
Culpeper VA,51047,1
Fauquier VA,51061,1
Fluvanna VA,51065,1
Frederick VA,51069,1
Goochland VA,51075,1
Greene VA,51079,1
Hanover VA,51085,1
Isle of Wight VA,51093,1
James City VA,51095,1
King William VA,51101,1
Louisa VA,51109,1
New Kent VA,51127,1
Orange VA,51137,1
Powhatan VA,51145,1
Prince William VA,51153,1
Rappahannock VA,51157,1
Roanoke VA,51161,1
Warren VA,51187,1
Poquoson city VA,51735,1
Benton WA,53005,1
Skagit WA,53057,1
Berkeley WV,54003,1
Jefferson WV,54037,1
Ozaukee WI,55089,1
St. Croix WI,55109,1
Walworth WI,55127,1
Waukesha WI,55133,1
Johnson WY,56019,1
Baldwin AL,01003,2
Haines Borough AK,02100,2
Hoonah-Angoon Census Area,02105,2
Kenai Peninsula Borough AK,02122,2
Matanuska-Susitna Borough AK,02170,2
Prince of Wales-Hyder Census Area ,02198,2
Skagway Municipality,02230,2
Gila AZ,04007,2
Greenlee AZ,04011,2
La Paz AZ,04012,2
Mohave AZ,04015,2
Pinal AZ,04021,2
Yavapai AZ,04025,2
Montgomery AR,05097,2
Alpine CA,06003,2
Amador CA,06005,2
Calaveras CA,06009,2
Del Norte CA,06015,2
Inyo CA,06027,2
Lake CA,06033,2
Lassen CA,06035,2
Mariposa CA,06043,2
Mendocino CA,06045,2
Modoc CA,06049,2
Mono CA,06051,2
Plumas CA,06063,2
Sierra CA,06091,2
Siskiyou CA,06093,2
Tehama CA,06103,2
Trinity CA,06105,2
Tuolumne CA,06109,2
Alamosa CO,08003,2
Archuleta CO,08007,2
Bent CO,08011,2
Chaffee CO,08015,2
Clear Creek CO,08019,2
Crowley CO,08025,2
Custer CO,08027,2
Delta CO,08029,2
Dolores CO,08033,2
Eagle CO,08037,2
Fremont CO,08043,2
Gilpin CO,08047,2
Grand CO,08049,2
Hinsdale CO,08053,2
Huerfano CO,08055,2
Jackson CO,08057,2
Kiowa CO,08061,2
Lake CO,08065,2
Las Animas CO,08071,2
Lincoln CO,08073,2
Mineral CO,08079,2
Moffat CO,08081,2
Montezuma CO,08083,2
