fips,county,st,state.name,total_votes,Donald Trump,Hillary Clinton,Other
02130,Ketchikan Gateway,AK,Alaska,6337,3452,1967,918
02198,Prince of Wales-Hyder,AK,Alaska,2863,1295,1076,492
02220,Sitka,AK,Alaska,4475,1812,2111,552
02195,Petersburg,AK,Alaska,1728,915,570,243
02275,Wrangell,AK,Alaska,1132,752,271,109
02105,Hoonah-Angoon,AK,Alaska,1431,446,743,242
02110,Juneau,AK,Alaska,16573,5685,8728,2160
02261,Valdez-Cordova,AK,Alaska,4484,2541,1258,685
02100,Haines,AK,Alaska,1655,666,730,259
02230,Skagway,AK,Alaska,839,229,443,167
02282,Yakutat,AK,Alaska,346,136,162,48
02290,Yukon-Koyukuk,AK,Alaska,2727,796,1527,404
02050,Bethel,AK,Alaska,4944,1093,2690,1161
02240,Southeast Fairbanks,AK,Alaska,3433,2422,663,348
02270,Wade Hampton,AK,Alaska,2055,398,1193,464
02122,Kenai Peninsula,AK,Alaska,29034,18284,7533,3217
02090,Fairbanks North Star,AK,Alaska,41180,22019,13506,5655
02068,Denali,AK,Alaska,1113,584,392,137
02170,Matanuska-Susitna,AK,Alaska,45251,31714,8554,4983
02020,Anchorage,AK,Alaska,131072,61005,54025,16042
02150,Kodiak Island,AK,Alaska,5818,3044,1982,792
02164,Lake and Peninsula,AK,Alaska,501,173,192,136
02013,Aleutians East,AK,Alaska,547,295,167,85
02070,Dillingham,AK,Alaska,1908,651,979,278
02016,Aleutians West,AK,Alaska,1227,399,692,136
02060,Bristol Bay,AK,Alaska,464,268,136,60
02180,Nome,AK,Alaska,3292,920,1663,709
02188,Northwest Arctic,AK,Alaska,2183,555,1146,482
02185,North Slope,AK,Alaska,2319,798,1082,439
